2026-08-04 18:44:58.457 [http-nio-8081-exec-22] INFO  com.knockfish.security.JwtAuthenticationFilter - === 请求路径: /api/article/unbindUnused/36, 方法: POST
2026-08-04 18:44:58.489 [http-nio-8081-exec-22] INFO  com.knockfish.aspect.LogAspect - [解绑文章未使用图片] 请求开始 - POST /api/article/unbindUnused/36 - ArticleController.unbindUnusedFiles - 参数: 36
2026-08-04 18:44:58.532 [http-nio-8081-exec-22] INFO  c.knockfish.service.impl.FileReferenceServiceImpl - 批量解绑完成，共解绑 2 条文件引用记录
2026-08-04 18:44:58.532 [http-nio-8081-exec-22] INFO  com.knockfish.service.impl.ArticleServiceImpl - 文章未使用图片解绑完成: articleId=36, 解绑数量=2
2026-08-04 18:44:58.539 [http-nio-8081-exec-22] INFO  com.knockfish.aspect.LogAspect - [解绑文章未使用图片] 请求成功 - 执行时间: 49ms
2026-08-04 18:44:58.588 [http-nio-8081-exec-23] INFO  com.knockfish.security.JwtAuthenticationFilter - === 请求路径: /api/article/list, 方法: GET
2026-08-04 18:44:58.613 [http-nio-8081-exec-23] INFO  com.knockfish.aspect.LogAspect - [查询文章列表] 请求开始 - GET /api/article/list - ArticleController.getArticleList - 参数: {"userId":null,"title":null}, 1, 10
2026-08-04 18:44:58.674 [http-nio-8081-exec-23] INFO  com.knockfish.aspect.LogAspect - [查询文章列表] 请求成功 - 执行时间: 61ms
2026-08-04 18:44:59.879 [http-nio-8081-exec-24] INFO  com.knockfish.security.JwtAuthenticationFilter - === 请求路径: /api/article/list, 方法: GET
2026-08-04 18:44:59.896 [http-nio-8081-exec-24] INFO  com.knockfish.aspect.LogAspect - [查询文章列表] 请求开始 - GET /api/article/list - ArticleController.getArticleList - 参数: {"userId":null,"title":null}, 2, 10
2026-08-04 18:44:59.906 [http-nio-8081-exec-24] INFO  com.knockfish.aspect.LogAspect - [查询文章列表] 请求成功 - 执行时间: 10ms
2026-08-04 18:47:03.382 [http-nio-8081-exec-27] INFO  com.knockfish.security.JwtAuthenticationFilter - === 请求路径: /api/article/with-tag/36, 方法: GET
2026-08-04 18:47:03.399 [http-nio-8081-exec-27] INFO  com.knockfish.aspect.LogAspect - [获取文章详情(含标签)] 请求开始 - GET /api/article/with-tag/36 - ArticleController.getArticleWithTagsById - 参数: 36
2026-08-04 18:47:03.405 [http-nio-8081-exec-27] INFO  com.knockfish.aspect.LogAspect - [获取文章详情(含标签)] 请求成功 - 执行时间: 6ms
2026-08-04 18:47:03.490 [http-nio-8081-exec-26] INFO  com.knockfish.security.JwtAuthenticationFilter - === 请求路径: /api/article/draft-count, 方法: GET
2026-08-04 18:47:03.513 [http-nio-8081-exec-26] INFO  com.knockfish.aspect.LogAspect - [获取草稿数量] 请求开始 - GET /api/article/draft-count - ArticleController.getDraftCount - 参数: 无
2026-08-04 18:47:03.514 [http-nio-8081-exec-26] INFO  com.knockfish.aspect.LogAspect - [获取草稿数量] 请求成功 - 执行时间: 1ms
2026-08-04 18:47:17.267 [http-nio-8081-exec-28] INFO  com.knockfish.security.JwtAuthenticationFilter - === 请求路径: /api/r2-file, 方法: POST
2026-08-04 18:48:25.459 [http-nio-8081-exec-31] INFO  com.knockfish.security.JwtAuthenticationFilter - === 请求路径: /api/article, 方法: PUT
2026-08-04 18:48:25.530 [http-nio-8081-exec-31] INFO  com.knockfish.aspect.LogAspect - [更新文章] 请求开始 - PUT /api/article - ArticleController.updateArticle - 参数: {"articleId":36,"title":"节流和防抖","cover":"https://fishbarn.cn/blog/article-image/2026-06/2b575cd3-ec52-4697-8265-2478d8b65b71.webp","description":"前端性能优化中，防抖和节流是两种手段，主要用于控制函数的执行频率","content":"# 防抖\n**什么是防抖**\n\n就是指连续触发事件但是在设定的一段时间内**只执行最后一次**\n例如`settimeout`定时器设定在1000 毫秒后执行，当触发一次事件，定时器会在 1000 毫秒后执行，但如果在1000毫秒之前又触发了事件，那定时器就会重新开始1000毫秒之后执行\n\n**防抖的应用场景**\n\n在需要限制频繁触发事件的情况，例如搜索框输入、文本编辑器实时保存，避免每次输入时都去请求返回数据。同样还有轮播图频繁触发切换也可以使用防抖限制\n\n**防抖实现**\n\n利用定时器，每次触发先清除以前的定时器\n\n```javascript\nlet timer = null\ndocument.querySelector('input').onkeyup = function(){\n    // 防抖，如果当前定时器存在则清除定时器\n    if(timer !== null){\n        clearTimeout(timer)\n    }\n    // 创建新的定时器，设置1000毫秒后执行\n    timer = setTimeout(()=>{\n        console.log('事件执行')\n    }, 1000)\n}\n```\n# 节流\n**什么是节流**\n\n就是指高频触发事件但是在设定的一段时间内只执行一次函数\n例如`settimeout`定时器设定在1000 毫秒后执行，在1000毫秒触发再多次事件，也只会在1000毫秒后执行最开始的一次\n节流的应用场景\n在高频事件中，例如鼠标快速点击，鼠标滑动、resize事件、scroll事件等\n\n**节流的实现**\n\n同样利用定时器，等定时器执行完毕后，才开启新的定时器\n\n```javascript\nlet timer = null\ndocument.querySelector('input').onmouseover = function(){\n    // 节流，定时器如果存在直接返回\n    if(timer !== null){\n        return\n    }\n    timer = setTimeout(()=>{\n        console.log(\"事件执行\")\n        timer = null\n    }, 1000)\n}\n```\n# lodash库防抖和节流\nLodash是一个JavaScript工具库，提供了大量实用的函数来处理常见的编程任务。可以通过使用Lodash库中提供的防抖和节流函数来有效地控制事件的触发次数\n\n**_.debounce 防抖**\n\nlodash 中的 debounce 函数可以用于对一个函数在执行时添加延时，这样可以确保该函数不会被频繁调用，从而提升网页性能。具体来说，debounce 函数返回一个新的函数，该函数会在最后一次调用之后指定的时间内执行\n下面是一个简单的使用示例：\n\n```javascript\nlet btn = document.querySelector(\"button\")\nfunction myFunction(){\n    console.log(\"触发\")\n}\nbtn.addEventListener(\"click\", _.debounce(myFunction, 1000))\n```\n在这个例子中，首先我们获取 button 的 DOM 元素。然后定义一个 myFunction 的普通函数。给button添加点击事件，在监听器的回调函数传入 _.debounce 函数，该函数会在最后一次调用之后等待 1000 毫秒在执行，这样就实现了防抖的效果\n\n**_.throttle节流**\n\nlodash 中的 throttle 函数可以用于对一个函数进行节流，即在一定时间内最多只能执行一次该函数。这样可以避免函数被频繁调用而影响页面性能。具体来说，throttle 函数返回一个新的函数，该函数会在每个指定时间间隔内最多执行一次原函数\n下面是一个简单的使用示例：\n\n```javascript\nlet btn = document.querySelector(\"button\")\nfunction myFunction(){\n    console.log(\"触发\")\n}\nbtn.addEventListener(\"click\", _.throttle(myFunction, 1000))\n```\n在这个例子中，首先我们获取 button 的 DOM 元素。然后定义一个 myFunction 的普通函数。给 button 添加点击事件，在监听器的回调函数传入 _.throttle 函数，该函数会在每个指定时间间隔内最多执行一次原函数，这样就实现了节流的效果\n\n![](https://fishbarn.cn/blog/1/article/31165a3a-4b20-4ca3-b28c-f314eb5a4a61.webp)\n\n","status":"DRAFT","publishTime":"2026-06-10 22:08:36","updatedTime":"2026-08-04 14:10:00","fileIds":null,"tags":[3,16]}
2026-08-04 18:48:25.558 [http-nio-8081-exec-31] INFO  com.knockfish.service.impl.ArticleServiceImpl - 文章更新成功: articleId=36
2026-08-04 18:48:25.563 [http-nio-8081-exec-31] INFO  com.knockfish.aspect.LogAspect - [更新文章] 请求成功 - 执行时间: 31ms
